presence,DECID,MARSH,SWW,STRDIS,ANTHRO,PROB,PREDICTED,DEV_RESID
1,0.0203046,0.3299492,0,45.91108322,0.1675127,0.98285544,1,0.185974353
1,0,0.680203021,0,81.21155548,0.741116822,0.927939889,1,0.386751401
1,0,0.472081214,0,114.788353,0.451776713,0.917532454,1,0.414891135
1,0.025380701,0.243654802,0,35.74986267,0.406091392,0.949178449,1,0.322981296
1,0.756345212,0.223350301,0,41.39156342,0.243654802,0.916030771,1,0.418820539
1,0.055837601,0.030456901,0,103.9365387,0.31979689,0.798205756,1,0.671399843
1,0,0.0203046,0,166.8551636,0.614213228,0.324831534,0,1.499632346
1,0,0.32487309,0,82.6836853,0.781725883,0.739570709,1,0.776769444
1,0.284263998,0.086294398,0,67.22213745,0.543147206,0.7200471,1,0.810479676
1,0,0.370558411,0.482233495,210.9257202,0.101522803,0.185806791,0,1.834692291
1,0.527918816,0,0,61.46977997,0.472081214,0.657920672,1,0.915063839
1,0,0.807106614,0.040609099,94.24728394,0.634517789,0.950941756,1,0.317182797
1,0,0.192893401,0.055837601,120.6370163,0.248731002,0.844073887,1,0.582263247
1,0.441624403,0,0,112.2992325,0.101522803,0.811788812,1,0.645778687
1,0,0.776649773,0,48.20765305,0.101522803,0.997459325,1,0.071328924
1,0.055837601,0,0,108.3115997,0.64974618,0.470123359,0,1.228625372
1,0.258883208,0.157360405,0,113.9136124,0.177664995,0.878322099,1,0.509395518
1,0,0.152284294,0,116.6632843,0.517766476,0.715658425,1,0.817988125
1,1,0.203045696,0,77.35517883,0,0.915743268,1,0.419569371
1,0,0.081218302,0,116.8028641,0.0203046,0.93309945,1,0.372138395
1,0.0203046,0.025380701,0,68.15982056,0.431472093,0.819912315,1,0.63017121
1,0.66497457,0,0,67.76800537,0.131979704,0.847951378,1,0.574337848
1,0,0.517766476,0,83.72576141,0.791878223,0.846539266,1,0.577232522
1,0,0.045685299,0,186.4637451,0.908629417,0.107887502,0,2.110292037
1,0.99492377,0.380710691,0,52.56287384,0,0.968955954,1,0.251141885
1,0.502538085,0.152284294,0,147.5094604,0,0.858615967,1,0.552147674
1,0.0203046,0,0,234.6147003,0.796954274,0.068290613,0,2.316887121
